id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
4RW537DYnS9j6FqZ3DMeTm,"Mi Gran Héroe","Legiones",0.001170,0.632000,0.953000,0.005060,0.087300,-5.428000,0.043400,0.349000,397787,2,1,115.001999,4
4XWhbqkaPHv4vPhYoAIrue,"Yo Lo Quise Así","Horizonte Rojo Sangre",0.000144,0.565000,0.978000,0.006770,0.098700,-2.714000,0.088300,0.390000,207412,4,1,116.056000,4
4ab2hFQzXrseMrTl5rPd0H,"Donde Estés","Cambio De Piel",0.039500,0.463000,0.657000,0.045700,0.116000,-5.020000,0.032900,0.199000,378985,11,0,93.033997,4
4azluUxfAo7cT4M77Wc4nM,"Si Puedes Vencer al Temor","Luchando por el Metal",0.005190,0.175000,0.940000,0.041500,0.108000,-4.511000,0.086000,0.395000,371120,0,1,71.121002,4
4flaKaTUiODfsQvUifdJLF,"Gatillo Fácil","25 Años",0.000064,0.310000,0.998000,0.000113,0.762000,-2.861000,0.177000,0.071400,195493,4,0,141.063995,4
4m3QC0rkXmnpiwIZRnSKfG,"El Embalado","De Pie",0.002320,0.220000,0.853000,0.000000,0.113000,-3.673000,0.050200,0.558000,148893,0,1,175.654007,3
4mKwAwkRepgxxowzCWILpI,"Reviviendo las Huestes","Reinara la Tempestad",0.000960,0.348000,0.840000,0.000414,0.212000,-11.518000,0.211000,0.284000,190707,4,0,85.456001,4
4ovXuU4BvwfzuuosrhFQWL,"Sentir la Fe","Rock Directo",0.082000,0.636000,0.674000,0.000003,0.109000,-3.920000,0.029200,0.823000,235213,7,1,127.959000,4
4qdMJ3oLako8QQy1nCAxO7,"Vomitando Odio - Vivo","Autodestrucción: En Vivo Teatro Flores, 15/10/10",0.000309,0.358000,0.976000,0.000050,0.389000,-4.641000,0.096800,0.232000,311427,3,1,101.709000,4
4rONmE5MpPA8ymLldMgQ0i,"Mi Gran Héroe - En Vivo","Reinará el Thrash (En Vivo)",0.000315,0.414000,0.926000,0.040100,0.973000,-6.266000,0.075700,0.180000,440000,7,1,119.311996,4
50b0tj9YlPBCXs0C38Xqf0,"Primeros Auxilios","Puesto en Marcha",0.000030,0.261000,0.913000,0.014600,0.391000,-5.573000,0.083100,0.479000,196720,11,0,159.298004,4
573ynDgC7gu2P8NcuhBmcs,"Revolución","Desconexión",0.002120,0.497000,0.928000,0.000000,0.142000,-5.357000,0.051700,0.788000,240102,1,1,124.100998,4
